@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.17,0.53,6720,7.56,1,1,1,0,0,4,9,3.574955,10,162.5,1724,123,0.070536,0.00119,14204,1690,1,1979,y
Male,0.13,0.42,7229,10.31,1,0,2,0,0,3,27,0.7229,9,432.64,1953,75,0.023793,0,8500,1690,8,1994,n
Male,0.17,0.44,7323,10.31,0,0,2,0,0,6,19,0.7323,13,495.211,2078,47,0.055305,0,8862,1690,8,1993,n
Male,0.12,0.45,4591,7.56,0,2,3,3,0,7,15,3.290115,3,28,1520,91,0.040078,0,6231,11200,11,2000,n
Male,0.15,0.52,3226,6.38,8,2,0,0,0,12,18,2.002659,1,30.769,1079,38,0.049287,0,3277,236,12,2008,n
Male,0.18,0.53,3447,4.82,0,1,2,1,0,6,10,2.143681,3,158.065,1098,76,0.031041,0,1821,452000,12,2012,y
Male,0.27,0.5,7043,6.38,4,3,10,2,0,23,26,3.402635,19,336.4,1629,59,0.216811,0,7057,1130,8,1998,n
Male,0.22,0.47,5519,5.99,0,0,8,2,0,9,20,2.116452,8,115.6,1331,85,0.257474,0,11453,25000,7,1986,n
Male,0.18,0.48,3768,8.35,0,0,0,0,1,2,21,0.3768,6,60.235,1341,30,0.061571,0,8422,269000,11,1994,n
Male,0.26,0.52,1345,8.74,0,0,0,0,0,1,6,2.381801,3,3.846,552,8,0.020074,0,3394,4540,8,2008,n
Male,0.18,0.47,1198,7.95,0,0,0,11,0,1,4,2.442572,4,0.381,507,10,0,0,3506,309000,4,2008,n
Male,0.18,0.46,4318,5.21,0,0,0,11,0,5,10,2.81742,10,66.618,1003,77,0.050255,0,16346,309000,2,1973,y
Male,0.2,0.47,4712,9.9,1,4,0,0,0,11,14,2.19538,3,1021.455,1043,50,0.076613,0,14633,1370,11,1977,y
Male,0.27,0.51,5492,7.56,1,7,1,2,1,11,8,2.513228,7,2232.562,1088,36,0.029497,0,15060,24900,9,1976,n
Male,0.2,0.46,4405,6.38,1,6,1,3,1,12,16,1.928317,7,688.9,995,47,0.096708,0,14332,309000,9,1978,n
Male,0.14,0.51,5439,5.6,1,9,2,4,1,18,14,2.37051,3,1800,1198,18,0.048171,0,12015,27200,1,1985,y
Male,0.14,0.48,5145,5.21,1,20,2,7,0,29,8,2.487308,2,184.471,1145,46,0.075219,0,13056,790000,3,1982,y
Male,0.19,0.49,5624,6.77,0,1,2,3,0,7,8,2.584128,3,529,1221,35,0.054943,0,13695,790000,6,1980,y
