@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.21,0.51,1,1,0,4,8,1323,95,0,3179,2009,n
0.26,0.55,0,2,1,7,2,1244,101,0.060659,13315,1981,n
0.11,0.48,0,0,0,0,8,467,24,0,4493,2005,n
0.19,0.48,0,0,0,0,2,453,26,0,4605,2005,n
0.15,0.5,0,0,0,0,3,413,23,0,4857,2004,n
0.13,0.49,3,0,0,6,12,1454,122,0,4404,2005,n
0.2,0.52,0,2,0,2,8,1086,52,0,939,2015,n
0.1,0.45,2,1,0,4,2,1401,154,0.044687,288,2017,y
0.14,0.48,1,2,0,12,4,951,27,0,9703,1991,n
0.15,0.42,0,0,0,5,0,1334,107,0,3886,2007,n
0.15,0.51,1,0,1,3,9,1086,54,0,1786,2013,n
0.2,0.52,0,0,0,1,7,1224,44,0,2150,2012,n
0.21,0.5,0,0,0,3,10,1017,10,0,1422,2014,n
0.21,0.55,1,3,0,10,20,1339,19,0,3732,2007,n
0.3,0.56,0,0,0,0,11,494,10,0,2666,2010,n
0.23,0.52,0,0,0,2,1,609,12,0.002778,3030,2009,n
0.17,0.53,0,6,0,7,1,961,40,0,2640,2010,n
0.19,0.58,0,3,0,16,3,954,24,0,2276,2011,y
0.2,0.49,0,2,0,10,4,1576,76,0,4481,2005,n
0.22,0.53,1,1,0,5,6,1062,37,0,3613,2008,n
0.18,0.5,0,1,4,12,2,943,70,0,3368,2008,n
0.24,0.52,0,0,0,0,0,525,19,0,1938,2012,n
0.19,0.54,0,0,0,1,7,717,17,0,4493,2005,n
0.19,0.54,0,0,0,1,18,1122,28,0.001038,1912,2012,n
0.2,0.52,2,1,0,8,13,2013,68,0.000254,3382,2008,n
0.28,0.5,0,0,0,1,8,657,12,0,4234,2006,n
0.21,0.48,2,0,0,4,6,520,11,0,5221,2003,n
0.2,0.47,0,0,0,4,7,1436,66,0,4845,2004,n
0.16,0.53,0,2,1,5,3,979,51,0,1541,2013,n
0.15,0.57,3,5,0,13,11,1156,21,0,8156,1995,n
0.23,0.56,1,0,1,4,2,843,37,0,3004,2009,n
0.25,0.52,0,3,0,4,3,664,11,0,3506,2008,n
0.26,0.5,0,1,0,1,13,740,22,0,4857,2004,n
0.17,0.52,0,2,0,8,4,969,50,0,4096,2006,n
0.24,0.51,0,1,0,9,5,1391,52,0,4110,2006,n
0.22,0.53,0,0,0,2,18,1461,45,0,1926,2012,n
0.21,0.57,0,4,8,20,11,1415,61,0,5860,2001,n
0.28,0.54,0,0,0,1,8,661,14,0,5195,2003,n
0.13,0.51,0,2,1,4,7,1457,86,0,4824,2004,n
0.32,0.5,2,5,2,23,4,1203,45,0,4962,2004,n
0.25,0.52,0,0,0,2,4,537,8,0,4122,2006,n
0.19,0.49,0,0,0,1,0,475,15,0,1567,2013,n
0.22,0.56,0,0,1,7,9,874,21,0,4474,2005,n
0.29,0.54,0,1,0,2,0,355,0,0.005926,3142,2009,n
0.2,0.47,0,0,0,0,38,820,79,0,2885,2010,n
0.23,0.49,0,0,0,3,5,1594,39,0.000677,3018,2009,n
0.29,0.56,0,0,0,4,4,593,4,0,3758,2007,n
0.2,0.45,2,0,0,6,7,1092,31,0,3977,2007,n
0.2,0.51,1,0,0,2,11,1608,65,0,2290,2011,n
0.28,0.51,0,0,0,1,2,460,11,0,2050,2012,n
0.18,0.53,0,4,0,7,4,1183,102,0,5069,2004,n
0.22,0.49,0,1,0,3,12,1485,59,0,3746,2007,n
0.16,0.49,0,1,1,4,27,1714,181,0,5209,2003,n
0.23,0.54,0,3,0,5,10,1003,36,0,2521,2011,n
0.23,0.57,0,0,0,2,1,484,13,0,3870,2007,n
0.17,0.56,0,1,2,12,12,1007,35,0,4698,2005,n
0.22,0.55,1,7,0,10,16,938,34,0.002099,3249,2009,n
0.26,0.56,0,0,0,0,4,401,14,0,951,2015,n
0.23,0.5,0,0,0,0,3,480,10,0,1679,2013,n
0.28,0.56,0,2,0,7,4,560,9,0,3394,2008,n
0.19,0.49,0,1,0,2,17,1567,33,0,2654,2010,n
0.22,0.58,6,7,4,24,2,894,32,0,4341,2006,n
0.26,0.64,0,0,0,4,4,470,15,0,1315,2014,n
0.13,0.5,3,1,0,5,2,994,131,0,2212,2011,n
0.26,0.51,0,2,0,4,14,1305,120,0.0014,1345,2014,y
0.17,0.5,0,0,0,1,1,1076,66,0.000795,13723,1980,n
0.14,0.52,0,4,0,13,1,1102,27,0.004419,12223,1984,n
0.11,0.44,1,9,2,15,9,1290,30,0.004269,4817,2004,n
0.19,0.47,3,10,2,29,3,1359,14,0.006714,5510,2002,y
0.12,0.43,0,0,0,1,0,1468,30,0,617,2016,n
0.12,0.43,0,0,0,1,0,1468,30,0,617,2016,n
0.2,0.58,10,2,0,15,0,1463,45,0,11467,1986,n
0.17,0.48,0,1,0,1,4,453,18,0,2302,2011,n
0.23,0.53,2,0,1,6,13,1161,87,0,1030,2015,n
0.16,0.49,0,2,0,3,2,1320,238,0,7610,1997,n
0.2,0.51,2,0,1,8,1,1221,166,0,8968,1993,n
0.34,0.58,0,5,0,17,2,959,40,0,4306,2006,y
0.21,0.52,0,1,0,2,2,948,25,0,2878,2010,n
0.16,0.51,0,7,0,9,4,1046,72,0,3734,2007,y
0.18,0.47,0,0,0,0,1,475,5,0,2666,2010,n
0.15,0.47,0,0,0,0,1,455,5,0,2778,2010,n
0.25,0.52,0,0,0,0,1,635,25,0,2414,2011,n
0.15,0.51,0,1,1,12,9,1151,39,0,2486,2011,n
0.15,0.5,0,3,0,3,8,1243,152,0,6413,2000,n
0.17,0.55,0,2,0,7,4,1139,31,0.030596,4985,2004,n
0.16,0.5,1,10,0,15,6,1236,36,0,4961,2004,n
0.27,0.57,0,3,3,8,2,1394,77,0,848,2015,n
0.28,0.52,3,4,0,14,8,994,43,0,2584,2010,n
0.12,0.51,1,3,3,8,2,1715,41,0,7554,1997,n
0.16,0.52,0,13,1,33,12,1170,65,0,5776,2002,n
0.16,0.52,0,13,1,33,12,1170,65,0,5776,2002,n
0.19,0.5,1,3,0,14,17,1567,99,0,7064,1998,y
0.19,0.55,0,0,1,1,1,368,6,0.00438,1679,2013,n
0.13,0.51,0,2,0,8,7,1493,66,0,5377,2003,n
0.14,0.49,0,6,0,9,5,1489,29,0,2402,2011,n
0.12,0.49,3,61,2,79,4,1285,32,0.014116,1315,2014,n
0.19,0.5,0,19,1,29,12,1284,43,0,475,2016,n
0.15,0.46,0,2,1,8,20,1166,55,0,2302,2011,n
0.16,0.46,2,8,2,20,8,1481,47,0.004996,3403,2008,y
0.11,0.48,0,0,0,3,2,1027,132,0.00091,302,2017,y
0.11,0.48,0,0,0,3,2,1027,132,0.00091,302,2017,y
0.16,0.48,2,2,0,4,4,1310,87,0,1583,2013,y
0.18,0.52,0,0,0,0,71,1050,100,0,13595,1980,n
0.14,0.48,0,2,0,6,7,1271,133,0,1982,2012,n
0.12,0.5,1,6,2,18,2,1295,52,0.001534,1618,2013,y
0.12,0.39,0,0,0,1,2,1580,13,0,521,2016,n
0.15,0.57,5,14,0,37,9,1375,61,0,6616,1999,n
0.11,0.45,4,2,0,19,14,1365,50,0,2516,2011,y
0.16,0.5,0,1,0,6,6,940,28,0,3758,2007,n
0.18,0.55,2,22,4,44,6,1420,27,0,4320,2006,y
0.18,0.5,1,0,2,16,4,998,36,0,2778,2010,n
0.16,0.53,4,11,0,36,8,1611,67,0,4770,2004,y
0.32,0.48,0,6,2,12,10,1238,55,0,4922,2004,n
0.07,0.43,3,1,0,9,0,1228,103,0,4880,2004,n
0.1,0.47,0,2,0,4,9,1298,39,0,1170,2014,y
0.12,0.49,6,7,1,19,6,1541,83,0.005253,2094,2012,y
0.12,0.49,6,7,1,19,6,1541,83,0.005253,2094,2012,y
0.17,0.5,3,12,0,23,12,1465,72,0,8352,1995,y
0.2,0.5,1,13,1,29,49,1424,58,0,8942,1993,n
0.17,0.51,4,2,1,24,6,1442,94,0,15786,1974,y
0.11,0.5,0,0,1,4,6,1739,65,0,16155,1973,n
0.2,0.51,1,1,0,12,13,1225,62,0,12125,1984,n
0.05,0.53,4,13,1,32,3,937,29,0,11740,1985,y
0.12,0.47,0,3,0,8,4,1241,42,0,442,2016,y
0.14,0.49,1,1,0,4,6,1561,81,0,15065,1976,n
0.18,0.49,1,1,1,9,13,1578,34,0,13969,1979,n
0.16,0.58,1,14,12,37,5,1381,59,0,11007,1987,y
0.17,0.42,0,3,0,7,18,1337,43,0,9759,1991,n
0.2,0.52,1,0,0,4,8,938,32,0,2050,2012,n
0.07,0.47,0,0,0,12,6,1478,48,0,16374,1973,y
0.34,0.51,1,4,1,12,3,723,17,0,839,2015,n
0.13,0.54,1,12,0,46,4,1418,74,0.002448,7213,1998,y
0.16,0.48,0,0,0,1,16,1359,68,0,9955,1990,n
0.16,0.47,2,0,0,13,2,1566,70,0,14330,1978,n
0.13,0.48,0,4,0,13,12,1486,89,0.016727,13210,1981,y
0.18,0.55,1,9,0,30,11,1238,57,0,7038,1998,n
0.09,0.53,3,26,1,38,5,1288,54,0,9978,1990,n
0.1,0.54,2,12,0,30,15,1547,47,0,8506,1994,y
0.16,0.54,2,11,0,35,11,1391,37,0,9306,1992,y
0.12,0.47,0,1,0,1,12,1848,203,0,15422,1975,n
0.17,0.49,1,1,0,9,6,1144,55,0,5783,2002,y
0.08,0.52,1,6,0,29,9,1549,42,0,2271,2011,y
0.12,0.51,0,0,0,13,7,1205,29,0,6868,1999,y
0.1,0.45,0,0,0,1,4,1370,73,0,4768,2004,n
0.13,0.43,0,8,0,12,14,1383,160,0.004417,2206,2011,n
0.16,0.51,2,5,1,27,4,1992,140,0.000387,1156,2014,y
0.12,0.5,1,4,1,13,8,1266,72,0,4565,2005,n
0.13,0.44,1,1,0,4,1,1582,64,0,6693,1999,n
0.14,0.46,0,0,0,8,12,1375,75,0.003758,3102,2009,n
0.17,0.54,1,5,4,23,11,1298,29,0,15856,1974,n
0.21,0.45,0,0,0,2,2,1068,52,0.022406,6420,2000,n
0.18,0.5,0,15,0,31,28,1510,92,0,4740,2004,n
0.21,0.5,0,3,0,13,7,927,35,0,3506,2008,y
0.16,0.49,1,11,0,13,26,1029,47,0,4586,2005,y
0.18,0.46,1,28,3,65,7,1418,69,0,3951,2007,y
0.2,0.56,0,7,0,8,9,1232,85,0,5881,2001,y
0.19,0.56,6,5,2,20,13,1422,35,0,4131,2006,n
0.15,0.47,0,10,0,23,1,1381,60,0,3466,2008,n
0.12,0.49,1,2,0,10,10,1603,71,0.001172,7512,1997,n
0.23,0.52,0,0,0,2,18,1178,105,0.000793,15242,1976,n
0.2,0.5,0,1,0,3,35,1375,53,0,13842,1980,n
0.14,0.52,1,0,0,9,13,1373,37,0,13506,1980,n
0.14,0.53,1,0,1,13,17,1343,34,0.00135,11595,1986,n
0.19,0.51,1,2,2,12,6,1466,44,0,14696,1977,n
0.2,0.5,2,1,1,21,5,1252,48,0,10963,1987,n
0.16,0.5,1,1,0,11,13,1236,33,0.000827,14269,1978,n
0.14,0.53,0,15,1,23,1,1314,85,0,2682,2010,n
0.21,0.53,1,9,0,13,0,1391,211,0.003692,427,2016,n
0.21,0.53,1,9,0,13,0,1391,211,0.003692,427,2016,n
0.15,0.49,0,2,1,16,8,1217,56,0,3095,2009,n
0.2,0.53,4,3,2,20,13,1423,85,0,4651,2005,y
0.19,0.5,1,7,0,8,1,1012,107,0,5734,2002,n
0.16,0.49,1,2,0,11,3,1349,39,0.002611,5307,2003,n
0.22,0.5,0,15,0,19,9,1145,71,0,1121,2014,y
0.15,0.53,2,52,0,87,12,1562,70,0,484,2016,n
0.21,0.55,1,5,5,36,2,1178,45,0,12545,1983,n
0.24,0.53,1,7,1,21,0,994,20,0,7785,1996,n
0.21,0.55,1,5,5,36,2,1178,45,0,12545,1983,n
0.14,0.45,2,6,3,17,2,2096,25,0,7442,1997,n
0.18,0.49,0,9,0,21,3,1338,84,0,3480,2008,y
0.02,0.54,0,2,0,9,10,1607,30,0,6644,1999,y
0.23,0.52,0,5,2,16,10,1217,30,0,7379,1997,n
