@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,13,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.14,0.51,1,2,1,18,14,3,1800,1198,18,0,12015,1985,y
0.14,0.48,1,2,0,29,8,2,184.471,1145,46,0,13056,1982,y
0.19,0.49,0,2,0,7,8,3,529,1221,35,0,13695,1980,y
0.27,0.57,4,3,2,17,12,4,129.067,887,41,0,15338,1975,n
0.16,0.43,1,0,0,2,10,81,42.05,1002,37,0,16031,1974,n
0.15,0.48,5,6,0,28,8,3,344.391,1221,28,0,15646,1975,n
0.21,0.51,0,6,1,12,13,4,368.167,1179,19,0,12377,1984,y
0.16,0.51,0,14,5,25,15,1,560.333,924,7,0.115424,13434,1981,y
0.18,0.46,0,6,0,21,16,3,144,1270,90,0,2815,2010,n
0.17,0.52,0,2,0,5,5,2,201.19,1051,69,0,1478,2013,n
0.19,0.46,0,0,0,3,40,11,81.667,1494,25,0,3305,2008,n
0.14,0.56,0,7,0,19,10,3,82.618,1582,145,0,7988,1996,y
0.27,0.56,0,0,0,1,6,1,26.036,654,19,0,13598,1980,n
0.19,0.5,8,2,0,24,9,13,242,1509,35,0,8303,1995,n
0.2,0.58,2,12,0,32,6,3,421.231,1194,53,0,4961,2004,y
0.16,0.49,0,3,0,14,18,19,109.136,1295,43,0,988,2015,n
0.16,0.49,0,3,0,14,18,19,109.136,1295,43,0,988,2015,n
0.2,0.53,2,3,0,18,7,1,566.44,1187,70,0,14087,1979,n
0.08,0.49,4,8,1,17,12,18,22.05,1649,114,0,13079,1982,y
0.18,0.5,0,3,0,8,4,5,12.023,1192,79,0,13581,1980,n
0.18,0.48,0,3,1,11,12,8,136.421,1565,122,0,14724,1977,n
0.12,0.49,0,6,0,8,8,4,2.25,1142,69,0,11964,1985,n
0.12,0.46,4,8,1,28,16,9,2.579,1682,90,0,8051,1995,n
0.19,0.56,2,6,1,12,14,17,36.911,1253,124,0,15151,1976,n
0.11,0.49,5,7,1,26,9,6,5.97,1537,103,0,12314,1984,n
0.12,0.47,25,17,0,57,14,6,42.582,1622,92,0,9962,1990,n
0.11,0.45,0,1,0,1,36,3,40.5,1721,53,0,7001,1998,n
0.21,0.51,1,1,0,4,12,8,5.083,1323,95,0,3179,2009,n
0.26,0.55,0,2,1,7,22,2,87.12,1244,101,0.060659,13315,1981,n
0.11,0.48,0,0,0,0,3,8,0.3,467,24,0,4493,2005,n
0.19,0.48,0,0,0,0,2,2,0.143,453,26,0,4605,2005,n
0.15,0.5,0,0,0,0,3,3,1,413,23,0,4857,2004,n
0.13,0.49,3,0,0,6,19,12,37.532,1454,122,0,4404,2005,n
0.2,0.52,0,2,0,2,5,8,308.167,1086,52,0,939,2015,n
0.1,0.45,2,1,0,4,6,2,42.105,1401,154,0.044687,288,2017,y
0.14,0.48,1,2,0,12,7,4,77.786,951,27,0,9703,1991,n
0.15,0.42,0,0,0,5,12,0,371.571,1334,107,0,3886,2007,n
0.15,0.51,1,0,1,3,8,9,868.056,1086,54,0,1786,2013,n
0.2,0.52,0,0,0,1,8,7,162.753,1224,44,0,2150,2012,n
0.21,0.5,0,0,0,3,9,10,280.333,1017,10,0,1422,2014,n
0.21,0.55,1,3,0,10,21,20,246.154,1339,19,0,3732,2007,n
0.3,0.56,0,0,0,0,6,11,14.286,494,10,0,2666,2010,n
0.23,0.52,0,0,0,2,2,1,19.184,609,12,0.002778,3030,2009,n
0.17,0.53,0,6,0,7,9,1,20.082,961,40,0,2640,2010,n
0.19,0.58,0,3,0,16,4,3,170.667,954,24,0,2276,2011,y
