@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.323529,0.185185,0.171574,0.281633,0,0.04918,0.033708,0,0,0.070922,0.329114,0.279768,0.04918,0.004608,0.301657,0.052632,0.011943,0,0.055495,0.000005,0.727273,0.944,n
Male,0.205882,0,0.267415,0.560204,0,0.032787,0,0.068182,0,0.028369,0.278481,0.299643,0.139344,0.107373,0.33895,0.087045,0.413303,0,0.13889,0.000005,0.272727,0.864,n
Male,0.205882,0.222222,0.230465,0.680612,0,0,0,0.045455,0,0.007092,0.227848,0.229333,0.07377,0.052878,0.325967,0.038462,0.013802,0,0.087054,0.000005,0.818182,0.912,n
Female,0.676471,0.518519,0.006244,0.361224,0,0,0,0.090909,0,0,0.012658,0.264156,0,0.001145,0.001657,0.030364,0.519032,0,0.011238,0.000005,0.272727,0.992,n
Female,0.676471,0.481481,0.007161,0.481633,0,0,0,0.136364,0,0,0.012658,0.277672,0,0.001017,0.003591,0.032389,0.499282,0,0.008799,0.000005,0.636364,0.992,n
Female,0.588235,0.407407,0.013978,0.361224,0,0,0,0.045455,0,0,0.037975,0.294339,0,0.00057,0.016851,0.036437,0.407611,0,0.003158,0.000005,0.272727,1,n
Female,0.529412,0.555556,0.249943,0.520408,0,0.016393,0.033708,0.045455,0.125,0.056738,0.177215,0.295634,0.057377,0.015011,0.314917,0.244939,0.102629,0,0.043756,0.000005,0.181818,0.96,y
Male,0.5,0.555556,0.190078,0.361224,0.076923,0.147541,0.123596,0.045455,0.125,0.205674,0.101266,0.283811,0.090164,0.013603,0.225691,0.048583,0.21169,0,0.091018,0.000345,0.272727,0.912,y
Male,0.588235,0.518519,0.05786,0.521429,0,0.032787,0.044944,0.113636,0.125,0.06383,0.025316,0.248365,0,0.03217,0.104144,0.016194,0.067039,0,0.09067,0.000345,0.272727,0.912,n
Male,0.382353,0.333333,0.18349,0.481633,0,0,0.044944,0.045455,0,0.042553,0.075949,0.246794,0.106557,0.029689,0.254696,0.08502,0.363039,0.010998,0.052903,0.000345,0,0.952,n
