Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Female,0.14,0.49,6367.0,4.83,1.0,7.0,9.0,0.0,0.0,20.0,16.0,0.6367,7.0,145.329,1773.0,117.0,0.08842468980681639,0.003141196795979268,11259,6310.0,332.0,2.0,1987.0,n
Female,0.18,0.5,5611.0,5.21,2.0,3.0,6.0,5.0,3.0,16.0,10.0,3.196864402659439,5.0,156.8,1505.0,112.0,0.0958830867937979,0.0,8058,3810000.0,942.0,11.0,1995.0,n
Female,0.17,0.5,5536.0,4.82,0.0,3.0,6.0,8.0,1.0,14.0,14.0,3.405824682057407,5.0,204.082,1603.0,125.0,0.11542630057803469,0.0025289017341040463,10405,3810000.0,369.0,6.0,1989.0,n
Female,0.15,0.52,4262.0,4.44,2.0,3.0,10.0,3.0,0.0,21.0,12.0,3.327025879296563,9.0,900.0,1324.0,70.0,0.08329422806194275,0.006335053965274519,4962,3810000.0,2488.0,4.0,2004.0,n
Female,0.18,0.49,4876.0,6.39,0.0,2.0,4.0,2.0,0.0,8.0,7.0,0.4876,7.0,151.758,1334.0,85.0,0.04819524200164069,0.002050861361771944,13357,71400.0,2220.0,5.0,1981.0,n
Female,0.14,0.51,5522.0,6.0,0.0,1.0,3.0,4.0,0.0,6.0,15.0,0.5522,3.0,173.255,1757.0,88.0,0.06392611372691054,0.0014487504527345165,9878,8150.0,1269.0,11.0,1990.0,n
Male,0.17,0.47,3764.0,5.62,4.0,10.0,10.0,17.0,2.0,29.0,27.0,2.7818289318092235,4.0,1452.0,1540.0,33.0,0.018065887353878853,0.0,4530,8150.0,600.0,7.0,2005.0,n
Male,0.22,0.49,5683.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,2.6978348961122314,1.0,38.007,1196.0,160.0,0.014428998768256202,0.0,3200,216000.0,12329.0,2.0,2009.0,y
Unknown,0.19,0.5,3455.0,4.82,0.0,0.0,5.0,4.0,1.0,13.0,14.0,1.9787648841682774,7.0,66.692,1060.0,51.0,0.16613603473227206,0.0,9150,67100.0,249.0,11.0,1992.0,n
Female,0.16,0.5,3407.0,4.82,1.0,2.0,5.0,0.0,2.0,11.0,8.0,2.43037259530789,10.0,181.73,1034.0,58.0,0.033460522453771645,0.0,2829,493000.0,971.0,3.0,2010.0,n
