@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.382353,0.407407,0.019231,0,0,0.028369,0.114754,0.283702,0.323887,0,0.323605,0.68,n
0.382353,0.444444,0.019231,0.101124,0.3125,0.283688,0.057377,0.312431,0.313765,0,0.11637,0.888,y
0.441176,0.407407,0,0.303371,0,0.241135,0.057377,0.203039,0.078947,0,0.08492,0.92,y
0.352941,0.333333,0,0.033708,0,0.049645,0.07377,0.283702,0.08502,0,0.29932,0.704,y
0.323529,0.222222,0.096154,0,0,0.035461,0.008197,0.161878,0.101215,0,0.253692,0.744,n
0.323529,0.222222,0,0,0,0.085106,0.090164,0.343094,0.111336,0,0.211613,0.792,n
0.205882,0.518519,0.038462,0.044944,0,0.070922,0.032787,0.324309,0.202429,0,0.338502,0.664,y
0.235294,0.222222,0.019231,0.078652,0,0.070922,0.409836,0.354972,0.137652,0,0.17548,0.824,n
0.294118,0.518519,0.038462,0.168539,0,0.184397,0.081967,0.262707,0.139676,0,0.046696,0.952,n
0.441176,0.37037,0,0.011236,0.0625,0.049645,0.090164,0.353591,0.109312,0,0.09117,0.912,n
0.5,0.259259,0,0.022472,0,0.028369,0.147541,0.244475,0.121457,0.011681,0.100318,0.904,n
0.352941,0.481481,0,0.089888,0,0.134752,0.04918,0.213812,0.157895,0.092477,0.049244,0.952,y
0.294118,0.407407,0.076923,0.022472,0,0.056738,0.02459,0.154144,0.044534,0.179126,0.003158,1,n
0.352941,0.148148,0.019231,0.033708,0,0.085106,0.081967,0.431492,0.135628,0,0.142702,0.856,n
0.5,0.666667,0.019231,0,0,0.007092,0,0.354972,0.267206,0,0.002744,1,y
0.617647,0.555556,0,0.033708,0.0625,0.049645,0.081967,0.229834,0.269231,0,0.02607,0.976,n
0.176471,0.444444,0.019231,0.067416,0,0.106383,0.147541,0.464365,0.103239,0,0.160387,0.84,y
0.558824,0.444444,0.019231,0.033708,0,0.134752,0.606557,0.480939,0.311741,0.026629,0.056388,0.944,y
0.5,0.666667,0.019231,0,0,0.007092,0,0.354972,0.267206,0,0.002744,1,n
0.323529,0.185185,0,0,0,0,0,0.003867,0.032389,0,0.112166,0.888,n
0.382353,0.296296,0,0,0,0.007092,0.172131,0.483978,0.082996,0.011964,0.040402,0.96,n
0.382353,0.444444,0,0,0,0.014184,0.344262,0.436464,0.064777,0,0.024393,0.976,n
0.323529,0.407407,0,0.011236,0,0.028369,0.147541,0.441436,0.103239,0.012649,0.008559,0.992,n
0.5,0.592593,0.038462,0.033708,0.0625,0.078014,0.098361,0.472376,0.151822,0,0.032321,0.968,n
0.294118,0.296296,0.038462,0.011236,0.0625,0.078014,0.090164,0.458287,0.121457,0.006161,0.016487,0.984,n
0.352941,0.407407,0.019231,0.146067,0,0.099291,0.016393,0.326796,0.09919,0,0.145903,0.856,n
0.323529,0.37037,0.038462,0.11236,0.25,0.219858,0.106557,0.627901,0.44332,0.010919,0.007318,0.992,y
0.411765,0.592593,0.019231,0.168539,0.125,0.255319,0.02459,0.355249,0.190283,0,0.066472,0.936,y
0.382353,0.407407,0,0.011236,0,0.049645,0.040984,0.327901,0.123482,0.015001,0.078974,0.92,n
0.294118,0.37037,0,0.011236,0,0.056738,0.032787,0.263536,0.202429,0.011959,0.033998,0.968,n
0.705882,0.740741,0,0.022472,0,0.035461,0,0.05442,0.022267,0,0.058958,0.944,n
