@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R2,7,9,11-12,15,17-18,20'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute PercentInQuotes numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.43,2569,5.6,5,0,0,0.2569,1,859,0,22200,10,1985,n
Male,0.43,5283,7.57,0,0,0,0.5283,11,1515,0,22200,2,1991,n
Male,0.51,6217,6.78,2,4,0,0.6217,4,1447,0,22200,3,1975,y
Male,0.43,4956,5.61,1,7,0,0.4956,50,1558,0,22200,8,1995,n
Male,0.51,4356,3.65,2,15,0,1.993392,10,1224,0,22200,11,2011,n
Male,0.47,4609,6,0,1,1,3.307869,11,1553,0,22200,4,2006,n
Male,0.44,3732,7.18,0,2,0,2.802004,18,1158,0.003483,22200,2,2005,n
Male,0.5,3590,3.66,0,8,0,1.859988,6,1047,0.027577,22200,7,2011,y
Male,0.48,2284,3.26,4,2,0,2.595455,3,831,0.053415,22200,4,2017,n
Male,0.41,6591,7.18,1,3,0,3.911195,10,1835,0,22200,10,1999,n
Male,0.55,5402,7.97,1,0,0,2.475426,0,1558,0,22200,5,2017,y
Male,0.52,4165,7.17,0,3,1,2.471777,10,1105,0,22200,6,2014,n
Male,0.49,7188,6.39,1,6,0,0.7188,18,1954,0,22200,7,1997,y
Male,0.49,9445,4.83,1,3,0,0.9445,74,2014,0.007941,22200,8,2010,y
Male,0.55,5402,7.97,1,0,0,2.475426,0,1558,0,22200,5,2017,n
Male,0.42,537,8.35,0,0,0,0.0537,0,287,0,22200,8,2003,n
Male,0.45,7848,9.54,0,0,0,0.7848,21,2025,0.003568,22200,8,2012,n
Male,0.49,5921,9.14,0,0,0,0.5921,42,1853,0,22200,8,2014,n
Male,0.48,6363,8.36,0,1,0,0.6363,18,1871,0.003772,22200,8,2016,n
Male,0.53,5997,8.75,2,3,1,0.5997,12,1983,0,22200,8,2013,n
Male,0.45,6532,8.75,2,1,1,0.6532,11,1932,0.001837,22200,8,2015,n
Male,0.48,4807,8.35,1,13,0,2.241934,2,1456,0,22200,5,1999,n
Male,0.47,10442,5.22,2,10,4,3.829386,13,2546,0.003256,22200,10,2016,y
Male,0.53,5447,5.22,1,15,2,2.894466,3,1559,0,22200,5,2009,y
Male,0.48,4024,6.4,0,1,0,2.516308,5,1460,0.004473,22200,10,2007,n
Male,0.47,3365,4.43,0,1,0,1.945533,4,1227,0.003566,22200,6,2013,n
Male,0.57,1017,5.22,0,2,0,0.1017,0,470,0,22200,4,2010,n
Male,0.5,1072,8.73,0,0,0,3.31968,0,522,0,22200,8,2004,n
Male,0.53,4956,6.78,6,0,0,3.243093,2,1423,0,912000,5,2002,y
Male,0.48,4905,9.53,0,3,0,0.4905,2,1582,0,7700,8,1990,n
Male,0.48,4604,9.53,0,0,1,0.4604,11,1574,0,13200000,8,1991,n
Male,0.46,6673,9.13,0,5,1,0.6673,4,1918,0.00045,13200000,8,1995,n
Male,0.52,4897,4.05,1,18,5,2.374369,15,1564,0.011027,7020,2,2008,y
Male,0.47,5989,8.35,0,8,0,0.5989,2,1827,0.001002,7020,8,1992,n
Male,0.53,5746,6,4,1,2,2.613694,12,1805,0.001044,7020,8,1982,y
Male,0.53,6720,7.56,1,1,0,3.574955,10,1724,0.00119,1690,1,1979,y
Male,0.42,7229,10.31,1,2,0,0.7229,9,1953,0,1690,8,1994,n
Male,0.44,7323,10.31,0,2,0,0.7323,13,2078,0,1690,8,1993,n
Male,0.45,4591,7.56,0,3,0,3.290115,3,1520,0,11200,11,2000,n
Male,0.52,3226,6.38,8,0,0,2.002659,1,1079,0,236,12,2008,n
Male,0.53,3447,4.82,0,2,0,2.143681,3,1098,0,452000,12,2012,y
Male,0.5,7043,6.38,4,10,0,3.402635,19,1629,0,1130,8,1998,n
Male,0.47,5519,5.99,0,8,0,2.116452,8,1331,0,25000,7,1986,n
Male,0.48,3768,8.35,0,0,1,0.3768,6,1341,0,269000,11,1994,n
Male,0.52,1345,8.74,0,0,0,2.381801,3,552,0,4540,8,2008,n
Male,0.47,1198,7.95,0,0,0,2.442572,4,507,0,309000,4,2008,n
Male,0.46,4318,5.21,0,0,0,2.81742,10,1003,0,309000,2,1973,y
Male,0.47,4712,9.9,1,0,0,2.19538,3,1043,0,1370,11,1977,y
Male,0.51,5492,7.56,1,1,1,2.513228,7,1088,0,24900,9,1976,n
Male,0.46,4405,6.38,1,1,1,1.928317,7,995,0,309000,9,1978,n
Male,0.51,5439,5.6,1,2,1,2.37051,3,1198,0,27200,1,1985,y
Male,0.48,5145,5.21,1,2,0,2.487308,2,1145,0,790000,3,1982,y
Male,0.49,5624,6.77,0,2,0,2.584128,3,1221,0,790000,6,1980,y
Male,0.57,3614,5.6,4,3,2,2.0274,4,887,0,1530000,12,1975,n
Male,0.43,4233,7.56,1,0,0,2.232846,81,1002,0,897000,1,1974,n
Male,0.48,4582,5.21,5,6,0,2.439338,3,1221,0,897000,1,1975,n
Male,0.51,4575,5.6,0,6,1,2.402002,4,1179,0,43200,1,1984,y
Male,0.51,3916,3.65,0,14,5,2.136259,1,924,0.115424,8130,2,1981,y
Male,0.46,4161,5.99,0,6,0,2.90512,3,1270,0,3250000,3,2010,n
Male,0.52,3240,8.34,0,2,0,1.848779,2,1051,0,30700,11,2013,n
Unknown,0.46,4625,6.79,0,0,0,2.513884,11,1494,0,8450,11,2008,n
Unknown,0.56,5326,6.78,0,7,0,2.734071,3,1582,0,590,1,1996,y
Female,0.56,1729,7.57,0,0,0,0.1729,1,654,0,42500,9,1980,n
Female,0.5,4752,6,8,2,0,2.993911,13,1509,0,42500,3,1995,n
Female,0.58,3582,5.61,2,12,0,2.698373,3,1194,0,42500,4,2004,y
Male,0.49,3819,5.61,0,3,0,2.266839,19,1295,0,42500,3,2015,n
Male,0.49,3819,5.61,0,3,0,2.266839,19,1295,0,42500,3,2015,n
Male,0.53,4127,5.99,2,3,0,2.410901,1,1187,0,42500,5,1979,n
Male,0.49,5314,4.43,4,8,1,1.870956,18,1649,0,42500,2,1982,y
Male,0.5,3688,6,0,3,0,2.350346,5,1192,0,42500,9,1980,n
Male,0.48,5651,6.39,0,3,1,0.5651,8,1565,0,42500,8,1977,n
Male,0.49,3240,5.22,0,6,0,0.324,4,1142,0,42500,2,1985,n
Male,0.46,5674,5.61,4,8,1,2.701178,9,1682,0,42500,11,1995,n
Male,0.56,4695,5.6,2,6,1,2.230401,17,1253,0,42500,6,1976,n
Male,0.49,4529,5.61,5,7,1,1.938466,6,1537,0,42500,3,1984,n
Male,0.47,5623,6,25,17,0,0.5623,6,1622,0,42500,8,1990,n
Female,0.45,5061,9.13,0,1,0,2.699741,3,1721,0,42500,9,1998,n
Female,0.51,4481,6.39,1,1,0,2.503158,8,1323,0,42500,3,2009,n
Female,0.55,4550,4.04,0,2,1,0.455,2,1244,0.060659,42500,6,1981,n
Male,0.48,1006,6.79,0,0,0,2.413689,8,467,0,21300,8,2005,n
Male,0.48,926,6.4,0,0,0,0.0926,2,453,0,2710000,4,2005,n
Male,0.5,893,7.96,0,0,0,2.919675,3,413,0,26900000,8,2004,n
Female,0.49,4785,6.39,3,0,0,3.351266,12,1454,0,185000,11,2005,n
Unknown,0.52,3319,8.35,0,2,0,1.939168,8,1086,0,119000,5,2015,n
Female,0.45,4498,6.78,2,1,0,2.688583,2,1401,0.044687,622000,2,2017,y
