@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-15,17-23'

@attribute Polarity numeric
@attribute WordCount numeric
@attribute OT numeric
@attribute WordQuantity numeric
@attribute PopularByAbsolute {y,n}

@data
0.17,5202,0,1396,y
0.15,2662,3,922,y
0.24,4434,0,1379,y
0.26,4499,3,1464,n
0.2,3495,0,1050,y
0.16,3496,1,1111,n
0.13,3941,3,1279,y
0.16,5949,0,1532,n
0.17,4854,2,1395,n
0.11,4708,0,1416,n
0.22,3844,0,1010,n
0.23,4536,2,1203,n
0.24,3183,0,1020,n
0.15,3216,0,1183,n
0.23,4050,0,1205,n
0.13,5215,1,1546,n
0.16,4353,0,1467,n
0.28,4280,0,1095,n
0.23,4193,1,1257,n
0.25,3904,0,1129,n
0.23,4670,2,1319,n
0.26,3043,0,932,n
0.21,4689,0,1421,n
0.21,3071,0,1078,n
0.23,2472,0,898,n
0.18,4968,0,1646,n
0.11,2627,0,902,n
0.23,2921,0,975,n
0.14,4080,0,1447,n
0.18,4429,0,1361,n
0.22,3878,1,1014,n
0.21,2799,2,1005,y
0.18,4052,1,1245,n
0.13,6062,6,1765,n
0.21,4546,0,1305,n
0.13,5397,0,1528,n
0.23,3563,0,1121,n
0.09,814,0,469,n
0.16,5850,1,1405,y
0.22,4046,3,1183,n
0.3,3173,0,836,n
0.18,5552,4,1388,n
0.16,5201,2,1687,n
0.13,5316,2,1169,n
0.17,5149,0,1107,n
0.16,3041,1,911,n
0.15,5016,0,1486,n
0.17,5804,3,1723,n
0.25,6605,0,1383,y
0.18,3821,2,1253,y
0.12,6068,0,1502,y
0.11,3552,1,1054,n
0.2,4333,1,1456,n
0.19,5212,1,1308,n
0.15,4586,0,1042,y
0.22,3216,0,1135,n
0.21,3196,1,1111,y
0.13,3705,0,1198,n
0.16,3336,2,1104,n
0.17,3448,0,1143,n
0.23,4843,5,1515,n
0.31,3314,0,954,n
0.25,3393,7,1201,n
0.23,3676,0,1134,n
0.22,3554,0,1095,y
0.16,3270,2,1140,n
0.18,3842,1,1181,y
0.13,2918,0,1006,y
0.24,3182,0,1081,n
0.31,2695,3,848,n
0.16,3768,0,1207,n
0.16,2617,3,886,y
0.17,3271,0,1119,y
0.13,2459,0,746,y
0.21,5296,0,1488,y
0.28,4094,0,1194,n
0.13,3256,2,1081,n
0.2,3820,3,1147,y
0.26,2959,2,994,n
0.2,3037,0,950,n
0.36,1767,0,717,n
0.17,3305,1,1148,y
0.14,3337,0,1044,n
0.21,2426,0,953,n
0.23,3320,0,1087,n
0.27,3077,0,888,n
0.24,3623,0,1135,n
0.16,5161,0,1514,y
0.18,3939,0,1174,y
0.12,4657,0,1079,y
0.16,3940,0,1077,n
0.17,3455,0,972,n
0.15,5929,0,1331,n
0.13,5551,0,1150,n
0.12,3975,0,1205,n
0.14,3113,0,942,n
0.22,4491,1,1516,n
0.15,3696,0,1313,n
0.16,4461,0,1279,n
0.25,5497,1,1481,n
0.12,3792,0,989,n
0.18,3958,8,1227,n
0.2,7311,0,1671,y
0.18,3895,4,983,n
0.25,5506,0,1355,n
0.13,1701,0,758,n
0.17,5124,2,1083,n
0.19,5267,0,1070,n
0.19,7114,0,1617,n
0.2,2637,0,750,n
0.15,8805,1,1710,n
0.23,9178,0,1625,n
0.19,6890,1,1488,n
0.23,4108,2,1219,n
0.24,6024,0,1163,n
0.16,4527,0,1340,n
0.12,3492,6,1211,n
0.16,4770,1,1121,n
0.2,6658,1,1315,n
0.16,1951,0,676,n
0.2,4047,0,1025,y
0.18,5881,0,1305,y
0.15,4686,0,1234,n
0.19,5281,0,1313,n
0.15,6104,0,1289,y
0.15,2307,0,755,n
0.21,4823,2,1309,n
0.21,5238,2,1234,y
0.2,4390,0,1114,n
0.21,4884,0,1098,y
0.15,4492,0,1133,n
0.33,920,0,375,n
0.2,4423,0,1029,n
0.12,5930,0,1166,n
0.22,4656,0,1016,y
0.19,3425,1,877,y
0.16,6760,0,1364,n
0.18,5374,1,1147,y
0.15,3993,2,1157,n
0.14,6233,2,1817,y
0.12,3605,2,1145,n
0.08,6211,5,1828,n
0.13,5289,3,1623,n
0.21,5488,0,1578,n
0.19,4005,1,1234,n
0.14,3012,1,906,n
0.14,3278,1,1015,n
0.16,3346,3,1109,n
0.17,2791,1,1000,y
0.29,2455,0,820,n
0.18,3199,0,1071,n
0.23,1722,0,696,y
0.23,2891,0,1056,n
0.15,4361,2,1270,y
0.13,2861,0,841,y
0.12,5037,0,1744,y
0.16,4149,0,1202,n
0.23,4770,0,1472,n
0.2,4180,0,1309,n
0.2,4121,0,1099,n
0.18,4990,1,1732,y
0.16,4696,0,1348,y
0.22,4700,0,1363,n
0.22,6012,1,1727,n
0.18,3920,5,1164,n
0.2,843,0,426,n
0.21,1052,0,497,n
0.19,864,0,425,n
0.12,3609,0,1049,n
0.15,5605,0,1591,n
0.09,5111,0,1434,n
0.15,3974,0,1151,n
0.17,3646,0,1240,n
0.18,3437,4,1385,n
0.23,4337,0,1317,n
0.22,6580,0,1591,n
0.13,4903,0,1561,n
0.19,4821,1,1545,n
0.2,3885,1,1298,n
0.11,3788,0,1171,n
0.11,3580,3,1209,n
0.18,4023,0,1202,n
0.15,3513,0,1103,n
0.15,3405,1,1083,n
0.22,6548,1,1720,n
0.21,4950,2,1484,n
0.29,4506,0,1149,n
0.24,5879,3,1528,n
0.21,3728,0,1198,n
0.22,5896,0,1426,n
0.12,4602,4,1312,n
0.16,4819,1,1234,y
0.1,3993,0,1272,n
0.18,3424,0,1172,n
0.18,3424,0,1172,n
0.2,4962,0,1472,n
0.06,4395,0,1207,n
0.11,6667,7,1624,n
0.17,3613,2,1316,n
0.17,4104,2,1378,n
0.17,3722,0,1224,n
0.2,2135,3,893,n
0.31,2672,6,964,n
0.22,2923,1,979,n
0.21,2874,1,1100,n
0.2,3147,2,1184,n
0.24,2700,1,915,n
0.25,3579,1,1112,n
0.31,4107,2,1348,n
0.24,3140,0,910,y
0.18,3735,3,1231,n
0.28,3150,1,1178,n
0.2,2958,8,1111,y
0.15,5856,0,1284,n
0.13,3585,1,1277,y
0.14,3176,0,1050,n
0.19,4011,5,1254,y
0.18,3274,0,989,n
0.08,5864,0,1564,y
0.17,4767,1,1245,n
0.23,5604,0,1401,n
0.2,5602,0,1430,n
0.13,4026,0,1249,n
0.14,3848,3,1156,y
0.11,4699,4,1339,y
0.22,4725,0,1138,n
0.12,3768,0,1138,n
0.17,4739,1,1564,n
0.26,1353,0,518,n
0.19,1635,0,672,n
0.18,1557,0,609,y
0.12,1738,1,615,n
0.21,1720,0,737,n
0.19,1533,1,601,n
0.17,1248,1,516,n
0.15,1608,1,695,n
0.13,6072,1,1670,n
0.22,5211,5,1379,n
0.22,4693,1,1261,n
0.18,4930,1,1442,n
0.21,4425,0,1149,n
0.22,4693,1,1261,n
0.2,4953,0,1294,n
0.23,3157,0,1090,n
0.22,3637,0,1086,n
0.19,5264,0,1392,n
0.17,5024,0,1304,y
0.05,3167,0,1236,n
0.21,4677,0,1371,y
0.12,5445,3,1670,n
0.17,3810,2,1191,n
0.21,4677,0,1371,y
0.19,5196,6,1450,n
0.22,5363,0,1672,n
0.14,5746,1,1673,n
0.14,6233,2,1817,y
0.09,6024,2,1857,y
0.18,4411,0,1392,n
0.13,5192,2,1463,y
0.15,4640,0,1220,y
0.16,4646,1,1417,n
0.14,5682,0,1535,n
0.09,4675,0,1441,y
0.1,6649,3,1608,y
0.15,3993,2,1157,y
0.12,5201,0,1381,y
0.15,5773,2,1577,y
0.21,4413,0,1599,n
0.16,4776,0,1551,y
0.24,3836,2,1225,y
0.09,5846,3,1571,y
0.12,6988,1,2206,n
0.17,3469,1,1270,n
0.11,4858,1,1632,y
0.13,4196,2,1646,y
0.12,3605,2,1145,y
0.11,7551,10,1574,n
0.06,4205,0,1418,y
0.1,7338,0,2245,n
0.18,5361,1,1428,y
0.08,6211,5,1828,y
0.13,5289,3,1623,y
0.21,4515,1,1406,y
0.15,4594,0,1557,y
0.14,4831,1,1472,y
0.22,5846,0,1453,n
0.19,4583,2,1235,n
0.15,1234,0,575,n
0.18,878,0,417,n
0.15,2960,1,1013,n
0.18,4326,1,1281,n
0.21,3283,0,1064,n
0.18,5651,0,1603,n
0.19,6612,1,1836,n
0.14,1000,1,481,n
0.19,3774,1,1236,n
0.15,5433,1,1833,n
0.17,3441,0,1037,n
0.2,8133,0,1538,y
0.17,5770,0,1445,n
0.15,7289,0,1372,y
0.21,3392,0,1061,n
0.2,3939,0,1151,y
0.19,4611,1,1316,n
0.19,3504,0,1147,n
0.18,4548,3,1377,y
0.15,3862,0,1030,n
0.19,4799,17,1446,n
0.19,4799,17,1446,n
0.19,4270,5,1429,n
0.21,3709,1,1128,n
0.18,7386,0,2092,n
0.2,8498,1,2527,n
0.17,4509,0,1395,n
0.14,4626,10,1575,n
0.14,4110,1,1493,n
0.22,3344,3,1121,n
0.15,5329,4,1618,n
0.16,7983,1,2469,y
0.24,4660,2,1437,n
0.19,4105,1,1415,y
0.17,9458,4,2429,y
0.2,4328,1,1163,n
0.28,3986,3,1126,n
0.18,6427,1,1839,n
0.21,3181,0,1242,n
0.23,5045,3,1403,y
0.22,5115,4,1473,n
0.12,4531,0,1500,n
0.16,4557,1,1399,y
0.15,5457,8,1715,n
0.18,4154,1,1387,n
0.2,5773,0,1563,n
0.21,4222,1,1215,n
0.16,3659,0,1035,n
0.18,4900,1,1246,n
0.27,845,0,387,n
0.13,5417,0,1519,n
0.16,868,0,408,n
0.25,6454,0,1440,y
0.18,5901,0,1522,y
0.23,4160,2,1296,n
0.21,4588,1,1348,n
0.19,4942,5,1345,n
0.28,4185,1,1193,n
0.18,3538,1,1186,n
0.17,1171,0,546,n
0.23,4368,0,1178,n
0.2,3541,0,1058,n
0.18,5144,0,1479,n
0.15,3910,0,1231,n
0.17,4607,1,1560,n
0.19,3097,1,1011,n
0.2,5891,0,2023,y
0.14,3848,4,1440,n
0.21,4389,1,1321,n
0.14,3848,4,1440,n
0.14,3366,0,1144,n
0.14,5793,2,1541,n
0.14,1815,0,629,n
0.17,4212,0,1204,n
0.2,3983,0,1107,n
0.19,3781,0,1295,n
0.14,5355,2,1342,y
0.13,4101,0,1130,n
0.15,1506,0,654,n
0.17,5540,0,1575,n
0.24,1542,0,621,n
0.14,4317,0,1305,n
0.15,1425,0,652,n
0.19,1166,0,522,n
0.16,2116,2,860,n
0.14,1619,0,634,n
0.15,4981,0,1511,n
0.22,5323,0,1514,y
0.15,4393,1,1432,y
0.13,6953,0,1822,n
0.14,3740,1,1183,y
0.23,3661,2,1106,n
0.16,4334,0,1413,n
0.16,1307,0,586,n
0.09,1439,0,633,n
0.23,4023,0,1080,y
0.23,3646,0,1077,y
0.19,5168,3,1568,y
0.16,6902,0,2075,n
0.18,5121,0,1414,n
0.15,4542,2,1320,n
0.23,4819,4,1263,n
0.16,5280,0,1190,y
0.11,4434,2,1415,n
0.21,2763,0,944,n
0.26,4021,4,1196,n
0.2,4726,1,1447,n
0.21,4393,4,1189,n
0.21,4659,1,1319,n
0.23,5044,4,1367,n
0.2,5437,3,1494,n
0.21,3553,2,1082,n
0.24,4468,0,1432,n
0.26,3913,3,1022,n
0.2,4009,0,1224,n
0.14,3847,0,1215,n
0.21,4903,0,1460,n
0.13,3666,0,1125,n
0.21,5068,1,1316,n
0.16,6317,2,1720,n
0.19,5025,0,1394,y
0.14,3608,0,1161,n
0.19,5285,3,1425,n
0.25,5190,0,1490,n
0.19,3974,8,1362,n
0.17,4001,0,1422,n
0.23,4401,4,1348,n
0.21,4067,7,1143,n
0.19,4315,8,1296,n
0.18,5401,9,1331,n
0.22,2700,0,941,n
0.2,2915,4,995,n
0.15,4657,0,1230,n
0.18,4407,0,1264,y
0.15,6002,5,1748,y
0.15,4015,0,1095,n
0.11,9822,0,2734,n
0.22,3677,0,986,n
0.09,4108,0,1143,n
0.2,3971,0,1314,n
0.18,3832,2,1050,n
0.13,4686,2,1258,n
0.29,2902,3,946,n
0.21,4228,1,1427,y
0.19,4249,1,1285,y
0.11,3965,0,1259,n
0.14,3981,2,1344,n
0.16,3407,1,1299,n
0.2,2324,0,667,n
0.11,6317,0,1591,n
0.13,4751,0,1484,n
0.14,4629,0,1462,n
0.19,3061,6,873,n
0.17,5491,0,1195,n
0.19,4693,3,1035,n
0.16,5019,2,1071,n
0.18,4734,0,1101,n
0.29,3621,0,898,n
0.17,4440,2,976,n
0.24,4404,17,1040,n
0.25,4131,2,1127,n
0.19,3841,0,902,n
0.16,4378,5,1439,n
0.15,3507,0,1205,n
0.16,4126,1,1436,n
0.2,6428,0,1617,y
0.17,4182,3,1352,y
0.16,3205,0,1082,n
0.22,4340,0,1115,n
0.15,2807,0,936,n
0.18,4914,0,1079,n
0.18,3986,0,957,n
0.15,4660,1,1053,n
0.16,4483,0,1142,n
0.15,3961,0,1223,n
0.17,4466,3,1204,n
0.18,5239,8,1617,y
0.16,4913,1,1282,n
0.17,5248,5,1542,y
0.19,3663,0,1184,n
0.16,4077,1,1254,n
0.19,4176,0,1238,y
0.14,5976,3,1597,n
0.22,4385,0,1099,n
0.24,5109,1,1325,n
0.19,5699,0,1489,n
0.17,4184,1,1221,n
0.2,3548,2,1159,n
0.17,4984,0,1306,n
0.24,5091,0,1134,n
0.24,5098,0,1148,n
0.21,5416,1,1354,y
0.21,4232,0,1120,n
0.16,4463,1,1509,n
0.19,5882,0,1724,y
0.2,4424,0,1239,n
0.15,5506,0,1472,n
0.13,5945,0,1602,y
0.17,5149,0,1613,n
0.26,4888,0,1028,n
0.11,6395,2,1949,y
0.15,3541,0,1171,n
0.2,1092,0,542,n
0.18,5182,7,1382,n
0.17,6301,0,1591,n
0.21,6668,1,1763,n
0.17,4940,1,1535,n
0.14,4186,0,1401,n
0.24,1344,0,518,n
0.21,2017,1,767,n
0.24,1681,0,640,n
0.23,826,0,369,n
0.15,1266,0,507,n
0.22,1145,0,484,n
0.2,1506,0,655,n
0.22,2090,2,725,n
0.18,1669,0,642,n
0.15,4341,1,1310,n
0.15,2939,0,1059,n
0.17,4172,1,1263,n
0.22,4978,0,1264,n
0.17,3773,0,1150,n
0.23,4652,0,1247,n
0.23,4618,2,1339,n
0.23,4046,2,1212,n
0.16,5900,2,1486,n
0.19,6068,1,1542,n
0.17,4013,0,1104,n
0.21,4087,2,1218,n
0.22,3545,0,1150,n
0.19,3567,1,1226,n
0.2,3355,0,957,n
0.16,4747,1,1321,y
0.13,3181,1,921,n
0.18,4507,0,991,n
0.17,3878,3,1228,n
0.16,3444,1,1119,n
0.18,3216,5,945,n
