Pageviews,Polarity,Subjectivity,WordCount,FleschReadingEase,Ot,Nt,Bom,Dyc,Pogp,AllScriptureCount,NameMentions,TimeElapsed,AppealToAuthority,WeToYouRatio,WordQuantity,UseOfI,WordsInItalics,QuotesInQuotationMarks,DaysElapsed,NameSearchResults,Name
350,0.15,0.53,3222,8.3,8,2,0,2,0,12,0,1610.8586666666667,1,30.769,1081,38,158,168,3269,1840000,Bruce D. Porter
2313,0.18,0.53,3450,5.9,0,1,2,4,0,7,0,1607.982,3,158.065,1100,75,116,374,1813,1840000,Bruce D. Porter
2162,0.27,0.5,7058,7.7,4,3,11,6,0,24,1,2069.866666666667,19,336.4,1639,58,1528,537,7049,11100000,Bruce L. Brown
1147,0.22,0.47,5522,8.3,0,0,8,1,0,9,1,2607.6665,8,115.6,1345,85,1474,123,11445,11100000,Bruce L. Brown
578,0.18,0.47,4326,6.4,0,0,0,6,0,6,1,1532.608,10,36.45,1024,60,264,798,16338,20200,Bruce R. McConkie
5,0.2,0.47,4727,11.1,1,4,0,6,0,11,1,2146.325333333333,3,1021.455,1044,50,360,185,14625,20200,Bruce R. McConkie
9997,0.27,0.51,5498,8.3,1,7,1,1,1,11,0,2185.2373333333335,7,2002.562,1095,33,161,255,15052,20200,Bruce R. McConkie
9,0.19,0.46,4430,9.0,1,6,1,3,1,12,1,2284.376,7,688.9,999,46,425,264,14324,20200,Bruce R. McConkie
31,0.15,0.51,5465,8.3,1,9,2,5,1,18,0,2294.442666666667,3,1800.0,1208,18,286,669,12007,20200,Bruce R. McConkie
12,0.14,0.48,5158,6.8,1,20,2,6,0,29,0,2068.501333333333,2,184.471,1152,46,422,195,13048,20200,Bruce R. McConkie
20,0.19,0.49,5630,8.8,0,1,2,4,0,7,0,2176.362666666667,3,529.0,1219,35,308,195,13687,20200,Bruce R. McConkie
9,0.27,0.57,3623,6.7,4,8,3,0,2,17,0,1782.5786666666668,4,129.067,887,41,667,475,15330,20200,Bruce R. McConkie
10,0.15,0.43,4238,8.9,1,0,0,1,0,2,1,1895.7866666666666,81,41.263,997,36,1153,287,16023,20200,Bruce R. McConkie
8,0.16,0.49,4593,7.6,5,11,6,6,0,28,0,1878.3786666666667,3,321.565,1224,28,491,786,15638,20200,Bruce R. McConkie
14,0.21,0.51,4604,8.3,0,4,6,1,1,12,0,1904.6613333333332,4,368.167,1175,18,454,306,12369,20200,Bruce R. McConkie
46,0.17,0.51,3936,5.0,0,5,16,1,5,27,0,1833.1113333333333,1,560.333,924,7,222,0,13426,20200,Bruce R. McConkie
35,0.18,0.45,4168,8.6,0,11,6,5,0,22,1,1432.2986666666666,3,144.0,1270,90,349,382,2807,1210,C. Jeffrey Belliston
8,0.16,0.52,3249,10.4,0,3,2,0,0,5,0,1752.508,2,195.048,1055,66,294,73,1470,466000,C. Shane Reese
23,0.18,0.46,4633,7.2,0,1,0,2,0,3,1,1839.7826666666667,11,81.667,1502,23,19,486,3297,1080000,C. Terry Warner
243,0.15,0.56,5362,7.8,0,9,8,3,0,20,1,1948.0106666666666,3,84.5,1589,143,884,555,7980,1080000,C. Terry Warner
11,0.19,0.51,4756,7.5,8,9,2,5,0,24,0,1587.2213333333334,13,225.781,1517,35,592,439,8295,3530,Camille Fronk
5,0.19,0.58,3584,7.4,2,15,14,6,0,37,0,1327.4666666666667,3,421.231,1206,53,558,391,4953,3530,Camille Fronk
6,0.17,0.49,3815,8.6,0,8,3,3,0,14,1,1684.725,19,109.136,1301,43,397,122,980,546000,Carl Hernandez III
8,0.17,0.49,3815,8.6,0,8,3,3,0,14,1,1684.725,19,109.136,1301,43,397,122,980,546000,Carl Hernandez III
7,0.2,0.53,4142,8.1,2,14,3,0,0,19,0,1711.808,1,566.44,1195,70,505,154,14079,4880,Carlos E. Asay
9,0.08,0.49,5326,6.5,4,3,8,1,1,17,1,2840.2586666666666,18,22.615,1657,111,747,380,13071,4880,Carlos E. Asay
9,0.18,0.5,3701,7.1,0,2,3,3,0,8,0,1569.1306666666667,5,11.0,1189,77,87,259,13573,4880,Carlos E. Asay
17,0.12,0.46,5682,7.2,4,7,8,8,1,28,0,2100.5653333333335,9,2.579,1687,90,303,878,8043,4880,Carlos E. Asay
10,0.19,0.56,4707,6.5,2,2,6,1,1,12,0,2105.0026666666668,17,40.5,1269,120,682,828,15143,4880,Carlos E. Asay
14,0.11,0.49,4549,6.8,5,6,7,7,1,26,1,2336.384,6,5.97,1539,102,573,479,12306,4880,Carlos E. Asay
8,0.11,0.44,5084,10.5,0,0,1,0,0,1,0,1874.624,3,40.5,1727,52,154,431,6993,11400,Carol Cornwall Madsen
11,0.19,0.52,4496,7.5,1,2,1,0,0,4,0,1790.1386666666667,8,5.24,1332,86,258,341,3171,353000,Carol Wilkinson
7,0.1,0.48,1004,8.1,0,0,0,0,0,0,1,416.78933333333333,8,0.138,465,22,105,69,4485,145000,Carr Krueger
7,0.15,0.5,885,8.4,0,0,0,0,0,0,1,305.856,3,1.0,414,23,0,10,4849,145000,Carr Krueger
43,0.13,0.49,4811,7.6,4,3,0,0,0,7,0,1427.8186666666666,12,37.532,1463,120,602,235,4396,5110,Carri P. Jenkins
9,0.2,0.52,3326,9.4,0,0,2,0,0,2,0,1711.5591666666667,8,308.167,1084,52,385,114,931,765000,Casey C. Peterson
38,0.1,0.45,4498,7.7,2,1,1,0,0,4,0,1673.9066666666668,2,42.105,1401,154,18,201,280,4110,Cassy Budd
38,0.14,0.48,3457,7.5,1,9,2,1,0,13,0,1698.2143333333333,4,78.769,955,26,1123,289,9695,10200,Catherine Corman Parry
48,0.15,0.43,4222,8.3,0,3,0,2,0,5,2,1754.1333333333334,0,357.143,1341,106,81,236,3878,11400000,Catherine H. Black
34,0.2,0.53,4457,10.6,0,0,0,1,0,1,2,1688.0861666666667,6,162.753,1227,43,82,72,2142,2640,Cecil O. and Sharon G. Samuelson
30,0.21,0.5,3004,10.8,0,2,0,1,0,3,0,1668.0733333333333,10,280.333,1017,10,168,83,1414,2640,Cecil O. and Sharon G. Samuelson
13,0.21,0.55,4264,9.8,1,0,3,6,0,10,1,1714.88,20,246.154,1341,19,206,184,3724,2640,Cecil O. and Sharon G. Samuelson
67,0.23,0.52,1439,11.3,0,1,0,1,0,2,0,482.9066666666667,1,19.184,610,12,0,52,3022,22200,Cecil O. Samuelson
40,0.17,0.53,2821,10.8,0,0,7,1,0,8,1,1030.1081666666666,1,20.082,960,40,106,34,2632,22200,Cecil O. Samuelson
35,0.19,0.58,2917,8.0,0,11,3,3,0,17,0,1116.566,3,170.667,953,24,197,96,2268,22200,Cecil O. Samuelson
