@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-8,12-13,16,18'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.441176,0.444444,0.096154,0.045455,0.0625,0.049645,0.204918,0.017448,0.168016,0,0.294594,0.002747,0.727273,0.704,n
0.470588,0.444444,0.019231,0.045455,0,0.12766,0.040984,0.005063,0.032389,0,0.35218,0.002747,0.454545,0.648,n
0.470588,0.592593,0,0.068182,0,0.113475,0.02459,0.000789,0.074899,0,0.315285,0.002747,0,0.688,n
0.323529,0.296296,0.019231,0,0,0.12766,0,0.112607,0.050607,0,0.168162,0.000428,0.545455,0.832,n
0.5,0.518519,0,0.045455,0,0.12766,0.172131,0.019247,0.214575,0,0.251601,0.000252,0.090909,0.752,n
0.441176,0.555556,0,0,0,0.049645,0,0.002254,0.244939,0,0.280829,0.000433,0.454545,0.72,n
0.294118,0.62963,0,0.090909,0,0.028369,0.040984,0.016801,0.12753,0,0.169382,0.000005,0.454545,0.832,n
0.588235,0.481481,0.038462,0.045455,0.0625,0.191489,0.090164,0.019591,0.174089,0,0.153526,0.001093,0.454545,0.848,n
0.529412,0.407407,0,0.022727,0,0.014184,0.155738,0.135381,0.08502,0,0.143791,0.000119,0.636364,0.856,n
0.558824,0.481481,0,0,0,0.021277,0.139344,0.199205,0.07085,0,0.135863,0.000001,0.636364,0.864,n
0.441176,0.666667,0.038462,0,0,0.141844,0.122951,0.02648,0.196356,0,0.173346,0.000001,1,0.824,n
0.5,0.407407,0.076923,0,0.0625,0.085106,0.188525,0.257415,0.208502,0,0.167552,0.000001,0.636364,0.832,n
0.411765,0.555556,0,0.045455,0,0.092199,0.098361,0.039895,0.234818,0,0.12212,0.000314,0.363636,0.88,n
0.294118,0.518519,0,0.068182,0,0.028369,0,0.139611,0.176113,0,0.010215,0.004313,0.454545,0.992,y
0.352941,0.481481,0.076923,0.045455,0.0625,0.156028,0.090164,0.021705,0.054656,0,0.169229,0.000023,0.454545,0.832,n
0.352941,0.296296,0.096154,0.159091,0.125,0.191489,0.409836,0.019859,0.097166,0,0.025766,0.000023,0.454545,0.976,y
0.558824,0.592593,0,0.022727,0,0,0.008197,0.001927,0.036437,0,0.011238,0.004241,0.272727,0.992,n
0.411765,0.592593,0,0.113636,0.125,0.085106,0.081967,0.003486,0.052632,0,0.013416,0.006923,0,0.992,n
0.235294,0.518519,0,0,0,0.056738,0.090164,0.049996,0.093117,0,0.182646,0.001461,0.818182,0.816,y
0.323529,0.185185,0,0,0,0.070922,0.04918,0.004608,0.052632,0,0.055495,0.000005,0.727273,0.944,n
0.205882,0,0,0.068182,0,0.028369,0.139344,0.107373,0.087045,0,0.13889,0.000005,0.272727,0.864,n
0.205882,0.222222,0,0.045455,0,0.007092,0.07377,0.052878,0.038462,0,0.087054,0.000005,0.818182,0.912,n
0.676471,0.518519,0,0.090909,0,0,0,0.001145,0.030364,0,0.011238,0.000005,0.272727,0.992,n
0.676471,0.481481,0,0.136364,0,0,0,0.001017,0.032389,0,0.008799,0.000005,0.636364,0.992,n
0.588235,0.407407,0,0.045455,0,0,0,0.00057,0.036437,0,0.003158,0.000005,0.272727,1,n
0.529412,0.555556,0,0.045455,0.125,0.056738,0.057377,0.015011,0.244939,0,0.043756,0.000005,0.181818,0.96,y
0.5,0.555556,0.076923,0.045455,0.125,0.205674,0.090164,0.013603,0.048583,0,0.091018,0.000345,0.272727,0.912,y
0.588235,0.518519,0,0.113636,0.125,0.06383,0,0.03217,0.016194,0,0.09067,0.000345,0.272727,0.912,n
0.382353,0.333333,0,0.045455,0,0.042553,0.106557,0.029689,0.08502,0.010998,0.052903,0.000345,0,0.952,n
0.441176,0.592593,0.076923,0.045455,0.4375,0.170213,0.040984,0.018887,0.232794,0,0.282702,0.000345,0.181818,0.72,n
0.588235,0.481481,0.038462,0.068182,0.25,0.120567,0.172131,0.060826,0.040486,0,0.145293,0.000345,0.454545,0.856,y
0.382353,0.592593,0.019231,0,0.0625,0.078014,0.090164,0.049505,0.080972,0,0.264364,0.000107,0.454545,0.736,n
0.382353,0.555556,0.019231,0.068182,0,0.028369,0.040984,0.082817,0.145749,0,0.279762,0.000004,0.545455,0.72,n
